,cart_id,customer_id,product_id,product_amount,product_price
0,3,8,2,16,"$28,382.23"
1,0,0,4,7,"$9,434.04"
2,1,1,0,19,"$3,204.85"
3,0,8,6,18,$2.19
4,4,6,9,11,$8.15
5,7,0,4,16,"$9,287.24"
6,1,9,6,11,$992.30
7,5,0,2,10,$3.50
8,5,4,0,13,$575.05
9,9,5,0,12,"$5,301.21"
10,0,10,10,15,"$1,017.28"
11,7,3,2,8,$1.38
12,3,7,0,4,$82.61
13,7,4,0,4,$3.64
14,10,2,4,18,$77.19
15,4,4,3,1,$819.00
16,0,2,2,5,$22.67
17,7,2,3,17,"$4,781.61"
18,2,9,4,9,$87.41
19,0,0,9,2,$2.83
20,2,10,5,2,$1.54
21,4,10,8,5,$62.51
22,9,9,10,1,"$4,574.48"
23,5,5,9,6,$547.75
24,1,2,2,5,$69.05
25,2,7,8,15,$9.31
26,2,8,3,13,$48.33
27,2,8,0,18,$0.04
28,2,0,3,12,$2.39
29,10,2,5,3,"$9,406.01"
30,7,2,3,20,$5.41
31,0,6,0,4,"$26,809.98"
32,1,10,9,13,"$97,674.09"
33,10,6,4,10,"$32,611.63"
34,4,2,0,11,$729.28
35,0,1,1,13,"$2,256.41"
36,4,0,10,13,"$1,634.98"
37,6,8,2,12,$4.01
38,0,10,7,5,"$6,570.72"
39,8,7,6,13,$728.69
40,4,5,3,13,$205.11
41,6,3,2,18,$33.44
42,10,7,6,9,$302.80
43,6,0,7,2,$0.97
44,2,8,8,18,$73.70
45,9,7,5,6,$369.77
46,3,2,1,19,"$52,299.85"
47,6,6,5,13,"$45,594.70"
48,1,10,6,6,$844.74
49,4,10,2,18,"$5,498.59"
50,3,0,8,13,$75.35
51,3,3,2,19,"$80,508.61"
52,8,7,8,20,"$39,639.48"
53,1,5,6,15,$515.54
54,3,1,2,15,$450.57
55,5,4,9,3,"$25,370.15"
56,0,0,0,19,"$98,482.44"
57,5,5,2,13,$86.09
58,0,6,1,10,"$8,242.55"
59,5,3,7,15,"$76,164.68"
60,3,8,10,19,$36.30
61,9,1,1,2,"$28,084.09"
62,6,5,5,18,"$36,413.02"
63,4,10,6,4,$895.69
64,4,5,5,15,$5.07
65,7,6,7,4,"$99,949.70"
66,2,4,6,16,$639.82
67,1,1,10,10,"$5,537.57"
68,0,3,3,12,"$41,106.22"
69,2,10,10,5,$3.58
70,0,8,8,8,$58.76
71,5,2,0,3,$0.42
72,10,8,3,13,$0.41
73,5,0,2,15,"$4,490.53"
74,3,5,0,15,$16.01
75,9,7,5,8,"$51,205.72"
76,2,9,4,9,$169.36
77,5,1,7,17,$19.06
