customer_id,product_id,product_amount
0,4,85
0,10,83
0,7,82
0,6,81
0,1,72
0,3,72
0,2,64
0,9,62
0,8,57
0,0,47
1,6,144
1,9,139
1,8,127
1,5,126
1,2,120
1,3,113
1,1,91
1,10,75
1,4,72
1,0,63
2,7,151
2,2,108
2,0,104
2,10,79
2,6,76
2,5,75
2,4,71
2,9,60
2,3,57
2,1,38
3,0,151
3,8,131
3,7,128
3,10,115
3,1,108
3,4,93
3,5,91
3,3,75
3,6,73
3,2,57
4,3,121
4,5,112
4,9,109
4,1,105
4,10,88
4,7,85
4,6,72
4,0,60
4,4,54
4,8,42
5,2,179
5,7,151
5,4,120
5,1,102
5,0,98
5,6,92
5,8,90
5,3,82
5,5,70
5,9,54
6,6,170
6,1,109
6,4,107
6,10,91
6,7,81
6,8,81
6,5,59
6,3,53
6,0,48
6,2,31
7,7,147
7,8,130
7,6,111
7,2,100
7,3,99
7,1,94
7,5,94
7,9,88
7,10,86
7,4,78
8,9,142
8,2,122
8,1,102
8,5,101
8,0,99
8,6,87
8,10,81
8,8,76
8,4,71
8,7,64
9,6,157
9,8,98
9,5,94
9,4,93
9,7,82
9,2,77
9,3,70
9,10,68
9,0,62
9,9,60
10,9,150
10,10,121
10,0,115
10,2,114
10,8,103
10,3,93
10,4,78
10,1,71
10,6,46
10,5,28
